Postcode,Suburb,State,LS_Accounts,LS_Value,Population,LS_Accounts_Per_Person,LS_Value_Per_Person,Tax_Population,Tax_Median_Income,Tax_Mean_Income
2876,Bogan Gate,NSW,11,190182.3,305,0.04,623.55,229,25628,30513
2877,Condobolin,NSW,76,1164876.01,4120,0.02,282.74,2074,35989,42639
2878,Ivanhoe (NSW),NSW,6,44536.5,199,0.03,223.80,,,
2879,Menindee,NSW,11,113619.8,858,0.01,132.42,265,45579,53897
2880,Broken Hill,NSW,311,8064136.06,19213,0.02,419.72,8848,41580,50431
2890,,NSW,4,65049.21,,,,,,
2898,Lord Howe Island,NSW,16,208283.38,359,0.04,580.18,265,35726,49370
2899,,,24,612370.89,,,,,,
2928,,,1,5286.95,,,,,,
200,,,7,98697.61,,,,,,
211,,,1,7986.33,,,,,,
220,,,1,5142.24,,,,,,
221,,,1,6771.06,,,,,,
241,,,1,8456.11,,,,,,
250,,,1,30520.85,,,,,,
254,,,1,4761.46,,,,,,
2600,Barton,ACT,208,4880959,6895,0.03,707.90,5712,66815,94265
2601,Acton (ACT),ACT,135,2960439.1,4791,0.03,617.92,2777,46880,66876
2602,Ainslie,ACT,865,19575545.31,28574,0.03,685.08,19072,57584,68424
2603,Forrest (ACT),ACT,226,5822458.54,8621,0.03,675.38,6210,70655,116150
2604,Kingston (ACT),ACT,340,10313299.85,8648,0.04,1192.56,7205,67865,81898
2605,Curtin,ACT,288,8049778.46,11329,0.03,710.55,7433,59671,78479
2606,Chifley (ACT),ACT,248,5736160.87,8170,0.03,702.10,5902,55252,68359
2607,Farrer,ACT,333,7715167.98,13460,0.02,573.19,9244,54755,69960
2608,,ACT,8,113815.85,,,,,,
2609,Pialligo,ACT,62,1137785.82,898,0.07,1267.02,597,46296,66034
2610,,ACT,2,63341.85,,,,,,
2611,Chapman,ACT,672,15004835.75,23239,0.03,645.67,15452,56898,67428
2612,Braddon,ACT,374,8459660.57,14666,0.03,576.82,9514,59011,70468
2614,Aranda,ACT,510,10865684.44,19120,0.03,568.29,12156,54246,67137
2615,Acton (ACT),ACT,1212,26158690,43703,0.03,598.56,27050,52904,58699
2616,,ACT,111,628556.74,,,,,,
2617,Belconnen,ACT,690,15980616.93,29650,0.02,538.98,19597,51602,60470
2618,Nanima,ACT,49,709022.89,1391,0.04,509.72,856,46466,74806
2900,Greenway,ACT,42,745053.46,1484,0.03,502.06,1199,54847,60724
2901,,ACT,2,17736.7,,,,,,
2902,Kambah,ACT,423,9876223.86,15448,0.03,639.32,9605,53461,61344
2903,Oxley (ACT),ACT,248,5302722.7,9572,0.03,553.98,5998,52957,60666
2904,Fadden,ACT,300,6507983.64,13033,0.02,499.35,8770,56291,65285
2905,Bonython,ACT,781,16611478.72,29223,0.03,568.44,18004,54702,60141
2906,Banks,ACT,405,8752637.05,18135,0.02,482.64,10895,56421,61447
2910,,ACT,1,121044.4,,,,,,
2911,Crace,ACT,86,1308632.67,576,0.15,2271.93,,,
2912,Casey,ACT,162,2749137.77,7151,0.02,384.44,3782,52737,58286
2913,Franklin (ACT),ACT,722,16727573.67,25418,0.03,658.10,19057,57317,64201
2914,Amaroo (ACT),ACT,445,9571376.98,13827,0.03,692.22,12748,60928,65409
800,Darwin City,NT,258,4649183.73,4545,0.06,1022.92,5272,43291,61449
801,,NT,78,1352639.43,,,,1454,55077,71347
803,,NT,2,12166.08,,,,,,
804,,NT,17,537064.83,,,,329,63457,78459
810,Alawa,NT,1152,21848715.34,29723,0.04,735.08,20337,53134,62452
811,,NT,52,735959.36,,,,678,60446,71979
812,Anula,NT,670,12771859.66,19315,0.03,661.24,11690,54619,61832
813,,NT,6,103149.11,,,,,,
814,,NT,11,113843.75,,,,318,56221,67055
815,,NT,5,42596.23,,,,,,
820,Bayview (NT),NT,785,14787034.42,19049,0.04,776.26,13138,58176,73025
821,,NT,65,1388077.42,,,,893,57134,66211
822,Acacia Hills (NT),NT,699,9816576.11,24111,0.03,407.14,4753,32642,44691
824,,NT,1,6345.78,,,,,,
828,Berrimah,NT,92,1413858.35,1696,0.05,833.64,625,60987,81971
829,Holtze,NT,13,153470.49,1138,0.01,134.86,,,
830,Driver,NT,761,14132755.32,17977,0.04,786.16,11316,57540,63396
831,,NT,45,491198.4,,,,1658,59838,68191
832,Bakewell,NT,395,9014647.6,9665,0.04,932.71,7408,61337,67668
833,,NT,1,4330.68,,,,,,
834,,NT,48,1387097.68,,,,,,
835,Howard Springs,NT,268,6006203.22,5198,0.05,1155.48,3370,58789,70602
836,Girraween (NT),NT,458,8737047.22,7086,0.06,1233.00,4488,57100,66038
837,Noonamah,NT,70,946210.82,527,0.13,1795.47,706,51361,59019
838,Berry Springs,NT,40,750623.54,735,0.05,1021.26,,,
839,,NT,20,462878.8,,,,,,
840,Dundee Beach,NT,11,303885.53,555,0.02,547.54,,,
841,Darwin River,NT,48,670019.96,693,0.07,966.84,,,
845,Batchelor,NT,45,588668.53,338,0.13,1741.62,361,43666,49767
846,Adelaide River,NT,27,364561.9,235,0.11,1551.33,,,
847,Pine Creek (NT),NT,25,213267.29,382,0.07,558.29,,,
850,Cossack (NT),NT,353,5526890.21,7588,0.05,728.37,3453,50231,55941
851,,NT,92,1547827.57,,,,1424,49730,56437
852,Baines,NT,188,2924135.63,7973,0.02,366.75,1617,30700,38428
853,Tindal,NT,16,233082.08,743,0.02,313.70,384,66243,64734
854,Borroloola,NT,43,692724.62,925,0.05,748.89,427,37884,51123
860,Tennant Creek,NT,113,1701634.53,3061,0.04,555.91,819,52177,58561
861,,NT,31,368442.94,,,,682,40661,46314
862,Calvert (NT),NT,22,359872.42,693,0.03,519.30,211,37007,42135
870,Alice Springs,NT,936,15578054.41,25187,0.04,618.50,13457,49232,56679
871,,NT,166,2638681.25,,,,2441,49740,57028
872,Gibson Desert North,NT,561,5002093.84,15483,0.04,323.07,3424,31303,38797
873,,NT,2,8552,,,,,,
874,,NT,4,49172.92,,,,,,
875,,NT,41,716968.26,,,,,,
880,Gapuwiyak,NT,107,1769277.36,5952,0.02,297.26,681,50431,66204
881,,NT,129,2521905.87,,,,1875,55519,68368
885,Alyangula,NT,49,834630.16,987,0.05,845.62,616,72005,86222
886,Jabiru,NT,61,1340097.58,1128,0.05,1188.03,869,53899,62867
909,,NT,5,163295.48,,,,,,
981,,NT,2,20492.14,,,,,,
984,,NT,1,5404.77,,,,,,
4000,Brisbane City,QLD,766,14129718.27,14334,0.05,985.75,12131,35759,61731
4001,,QLD,198,2821287.15,,,,,,
4002,,QLD,4,55467.1,,,,,,
4003,,QLD,1,51379.55,,,,,,
4004,,QLD,17,256645.57,,,,,,
4005,New Farm,QLD,792,15259522.23,11331,0.07,1346.71,11592,57821,89085
4006,Bowen Hills,QLD,641,11041897.61,14725,0.04,749.87,9055,49748,76666
4007,Ascot (Brisbane - Qld),QLD,419,7776231.56,10453,0.04,743.92,8068,55408,99788
4008,Pinkenba,QLD,14,233262.52,352,0.04,662.68,236,50032,68591
4009,Eagle Farm,QLD,6,43439.99,0,,,,,
4010,Albion (Brisbane - Qld),QLD,103,2577228.11,1985,0.05,1298.35,1799,49604,63551
4011,Clayfield,QLD,484,10978146.14,14424,0.03,761.10,10037,52545,85401
4012,Nundah,QLD,657,11344159.1,19818,0.03,572.42,12999,50848,65018
4013,Northgate (Qld),QLD,164,2686066.96,4306,0.04,623.80,2953,49477,60828
4014,Banyo,QLD,370,7218141.28,10778,0.03,669.71,7073,46944,55801
4017,Bracken Ridge,QLD,976,18440280.74,35809,0.03,514.96,20932,45618,54556
4018,Fitzgibbon,QLD,207,3284527.46,8908,0.02,368.72,6005,45567,50728
4019,Clontarf (Moreton Bay - Qld),QLD,595,9641110.17,19007,0.03,507.24,10494,41498,49901
4020,Newport (Qld),QLD,616,10365701.98,20373,0.03,508.80,12233,41335,54135
4021,Kippa-Ring,QLD,235,4069450.13,9930,0.02,409.81,4863,39703,45305
4022,Rothwell,QLD,136,2746474.22,6682,0.02,411.03,3272,39410,44478
4024,,QLD,1,4029.15,,,,,,
4025,Kooringal (Qld),QLD,15,206561.44,298,0.05,693.16,,,
4026,,QLD,1,15123.3,,,,,,
4029,,QLD,6,44491.71,,,,,,
4030,Lutwyche,QLD,498,9484607.92,15127,0.03,627.00,9646,50037,66924
4031,Gordon Park,QLD,431,8486811.43,12608,0.03,673.13,7770,52377,64410
4032,Chermside,QLD,395,7191981.74,14287,0.03,503.39,9044,43075,52904
4033,,QLD,1,4219.79,,,,,,
4034,Aspley,QLD,1102,21120970.87,41832,0.03,504.90,26150,44448,53284
4035,Albany Creek,QLD,480,10883296.32,23303,0.02,467.03,15261,48160,63740
4036,Bald Hills (Qld),QLD,183,3350746.23,6947,0.03,482.33,3885,44310,49464
4037,Eatons Hill,QLD,137,2557099.59,7991,0.02,320.00,4851,50481,62929
4041,,QLD,1,57396.14,,,,,,
4044,,QLD,1,5865.72,,,,,,
4051,Alderley,QLD,801,17509857.08,25847,0.03,677.44,17128,52966,71990
4052,,QLD,3,18451.44,,,,,,
4053,Everton Hills,QLD,1223,27060507.15,41786,0.03,647.60,26327,48190,57739
4054,Arana Hills,QLD,341,7328515.8,12963,0.03,565.34,8692,43897,51627
4055,Bunya,QLD,466,10095464.7,19550,0.02,516.39,12203,49081,59659
4058,,QLD,2,76914.43,,,,,,
4059,Kelvin Grove,QLD,440,8891555.22,11561,0.04,769.10,7100,47722,66846
4060,Ashgrove,QLD,362,7714520.72,12915,0.03,597.33,8170,53462,78882
4061,The Gap (Brisbane - Qld),QLD,418,9888214.05,15951,0.03,619.91,10335,47977,66855
4064,Milton (Qld),QLD,459,8043661.51,9976,0.05,806.30,7400,53677,85588
4065,Bardon,QLD,337,8924736.45,9255,0.04,964.32,5740,57042,92074
4066,Auchenflower,QLD,571,11358264.5,16146,0.04,703.47,11052,48012,69006
4067,St Lucia,QLD,225,6038656.96,9141,0.02,660.61,5004,40250,79152
4068,Chelmer,QLD,646,13108779.25,21899,0.03,598.60,14507,47175,79551
4069,Brookfield (Qld),QLD,838,23043498.32,33073,0.03,696.75,21686,50188,84460
4070,Anstead,QLD,238,7492910.8,10549,0.02,710.30,6767,48812,63604
4071,,QLD,1,5179.5,,,,,,
4072,St Lucia,QLD,6,134993.8,2050,0.00,65.85,,,
4073,Seventeen Mile Rocks,QLD,198,4291512.58,9332,0.02,459.87,5517,52048,69459
4074,Jamboree Heights,QLD,615,13301340.98,23272,0.03,571.56,15384,45951,57903
4075,Corinda,QLD,677,13798928.77,21202,0.03,650.83,13755,49240,69065
4076,Darra,QLD,156,2617429.78,6796,0.02,385.14,2477,40092,44416
4077,Doolandella,QLD,650,10197118.96,25158,0.03,405.32,12267,38006,42127
4078,Ellen Grove,QLD,695,14243440.48,22972,0.03,620.03,13900,45987,52259
4079,,QLD,1,24882.63,,,,,,
4100,,QLD,1,9167.38,,,,,,
4101,Highgate Hill,QLD,854,17621858.46,19303,0.04,912.91,13349,44880,67661
4102,Dutton Park,QLD,277,4592645.19,6261,0.04,733.53,4200,40484,53448
4103,Annerley,QLD,452,9234330.47,13220,0.03,698.51,8639,44616,58815
4104,Yeronga,QLD,165,3165740.76,5539,0.03,571.54,3920,50199,72345
4105,Moorooka,QLD,423,7556180.64,12833,0.03,588.81,7955,47357,61671
4106,Rocklea (Qld),QLD,70,894410.8,1256,0.06,712.11,901,42145,50922
4107,Salisbury (Qld),QLD,194,3663012.48,6096,0.03,600.89,3745,43443,49468
4108,Archerfield,QLD,198,3394809.55,4717,0.04,719.70,3100,38695,43839
4109,Macgregor (Qld),QLD,861,16056817.21,35371,0.02,453.95,22418,33180,44943
4110,Acacia Ridge,QLD,290,4242698.76,9575,0.03,443.10,5163,41428,47058
4111,Nathan,QLD,22,809351.09,1396,0.02,579.76,655,41565,48687
4112,Kuraby,QLD,172,3491979.53,7775,0.02,449.13,4222,40231,51047
4113,Eight Mile Plains,QLD,642,10880310.53,27447,0.02,396.41,18039,37426,47111
4114,Kingston (Qld),QLD,856,12600235.55,33199,0.03,379.54,11659,37061,39517
4115,Algester,QLD,441,8172283.3,17803,0.02,459.04,11196,44862,51613
4116,Calamvale,QLD,540,8787487.69,23308,0.02,377.02,14619,40663,48944
4117,Berrinba,QLD,33,355110.69,1211,0.03,293.24,,,
4118,Berrinba,QLD,853,12906923.62,29064,0.03,444.09,16807,43524,48600
4119,Underwood (Qld),QLD,163,3173119.77,5325,0.03,595.89,3652,43179,51401
4120,Greenslopes,QLD,319,5951779.35,8566,0.04,694.81,5879,48513,59318
4121,Holland Park,QLD,653,13643430.79,23782,0.03,573.69,14878,51054,65736
4122,Carindale,QLD,1085,21707422.14,41929,0.03,517.72,26036,42688,52345
4123,Rochedale,QLD,520,9183302.74,16090,0.03,570.75,10306,44913,52586
4124,Boronia Heights,QLD,507,8691218.03,18381,0.03,472.84,10008,44968,51461
4125,Munruben,QLD,184,3474477.13,6912,0.03,502.67,3915,40598,48773
4127,Daisy Hill (Qld),QLD,784,13950355.44,21747,0.04,641.48,14742,42228,50089
4128,Shailer Park,QLD,420,8346709.78,15877,0.03,525.71,9899,45150,52901
4129,Loganholme,QLD,203,3927830.55,6125,0.03,641.28,3925,43905,49845
4130,Carbrook,QLD,216,3930299.03,8031,0.03,489.39,5138,43701,55005
4131,Loganlea,QLD,246,3828655.66,9312,0.03,411.15,4782,39448,43276
4132,Crestmead,QLD,703,9685474.44,22489,0.03,430.68,11540,40520,43342
4133,Chambers Flat,QLD,428,7070615.25,14705,0.03,480.83,8006,41031,46211
4150,,QLD,2,46106.13,,,,,,
4151,Coorparoo,QLD,567,12467264.37,14946,0.04,834.15,10821,50687,67203
4152,Camp Hill,QLD,1084,23413747.78,42501,0.03,550.90,27609,49572,65921
4153,Belmont (Qld),QLD,112,2456558.37,4593,0.02,534.85,2761,50102,65033
4154,Gumdale,QLD,214,4655885.66,9231,0.02,504.38,6266,55764,72060
4155,Chandler (Qld),QLD,32,499839.24,1079,0.03,463.24,968,49399,97061
4156,Burbank,QLD,57,1295119.88,2983,0.02,434.17,1950,49493,70617
4157,Capalaba,QLD,522,10198131.54,18674,0.03,546.11,11307,43980,52343
4158,Thorneside,QLD,111,2027283,3546,0.03,571.71,2146,46523,53407
4159,Birkdale,QLD,338,5589580.66,13797,0.02,405.13,8374,44985,55851
4160,Ormiston,QLD,423,8607273.71,17433,0.02,493.73,11023,45559,61922
4161,Alexandra Hills,QLD,438,8027765.59,16728,0.03,479.90,9557,43838,49879
4163,Cleveland (Qld),QLD,338,6911571.32,14414,0.02,479.50,9219,42515,63340
4164,Thornlands,QLD,294,5909704.03,12806,0.02,461.48,7942,45543,58191
4165,Mount Cotton,QLD,875,15855192.76,33243,0.03,476.95,20264,44847,55125
4167,,QLD,1,6877.71,,,,,,
4168,,QLD,1,6828.69,,,,,,
4169,East Brisbane,QLD,601,10020654.81,12602,0.05,795.16,8998,48348,74724
4170,Cannon Hill,QLD,814,16864343.91,21937,0.04,768.76,15172,52667,69380
4171,Balmoral (Qld),QLD,510,10367506.59,14543,0.04,712.89,10061,60562,95607
4172,Murarrie,QLD,132,2324126.84,3958,0.03,587.20,2771,50562,63329
4173,Tingalpa,QLD,269,4796877.33,8540,0.03,561.70,4999,47513,54443
4174,Hemmant,QLD,98,1419074.07,2594,0.04,547.06,1565,47381,53076
4175,,QLD,2,30981.52,,,,,,
4178,Lytton,QLD,715,13814329.17,23976,0.03,576.17,14014,45647,56316
4179,Lota,QLD,510,11404382.89,18151,0.03,628.31,11181,47511,61665
4180,,QLD,1,9108.44,,,,,,
4182,,QLD,1,6043.97,,,,,,
4183,Amity,QLD,82,2514470.55,2024,0.04,1242.33,1179,35703,45725
4184,Coochiemudlo Island,QLD,160,2686981.19,6342,0.03,423.68,2339,29129,38184
4185,,QLD,2,8961.42,,,,,,
4205,Bethania,QLD,147,2222539.05,4590,0.03,484.21,2196,40596,44498
4206,,QLD,2,24735.46,,,,,,
4207,Alberton (Qld),QLD,1457,23132929.27,47473,0.03,487.29,26150,40680,47066
4208,Jacobs Well,QLD,484,9548617.51,15753,0.03,606.15,10057,45230,52908
4209,Coomera,QLD,1105,16776178.05,34156,0.03,491.16,21592,42594,51427
4210,Guanaba,QLD,521,9824266.56,16275,0.03,603.64,10384,41714,51169
4211,Advancetown,QLD,1676,26656508.95,56333,0.03,473.20,33788,39742,48173
4212,Helensvale,QLD,636,12105314.88,24473,0.03,494.64,16042,41080,59349
4213,Austinville,QLD,706,12650360.53,27712,0.03,456.49,16591,39492,51278
4214,Arundel,QLD,1027,17108878.98,35809,0.03,477.78,21391,38570,48259
4215,Labrador,QLD,1474,22698192.72,44715,0.03,507.62,25610,36059,44801
4216,Biggera Waters,QLD,961,17562731.6,33735,0.03,520.61,20637,38968,56219
4217,Benowa,QLD,1363,21057684.83,35329,0.04,596.05,25183,35401,57228
4218,Broadbeach,QLD,1104,15976033.78,29661,0.04,538.62,20447,39412,57576
4219,Burleigh Heads,QLD,18,426121.43,539,0.03,790.58,262,34010,44550
4220,Burleigh Heads,QLD,900,16899685.43,28882,0.03,585.13,18922,39465,51130
4221,Elanora,QLD,744,12636346.51,25603,0.03,493.55,15231,38374,49610
4222,,QLD,1,4350.27,,,,,,
4223,Currumbin,QLD,375,6786150.02,14072,0.03,482.24,8358,38645,54750
4224,Tugun,QLD,187,3024106.24,5277,0.04,573.07,3826,39082,50375
4225,Bilinga,QLD,219,3349542.92,6856,0.03,488.56,4523,35409,46935
4226,Clear Island Waters,QLD,779,13907406.33,29249,0.03,475.48,19285,38330,49233
4227,Reedy Creek (Qld),QLD,455,7330215.05,18386,0.02,398.68,11054,39021,49313
4228,Tallebudgera,QLD,150,2906839.52,5107,0.03,569.19,3329,39130,53277
4229,Varsity Lakes,QLD,3,27464.37,1692,0.00,16.23,,,
4230,Robina,QLD,4,70123.89,1582,0.00,44.33,382,29981,39072
4231,,QLD,1,42047.47,,,,,,
4270,Tamborine,QLD,89,1383400.69,3464,0.03,399.37,2168,43305,52459
4271,Tamborine Mountain,QLD,68,1044385.58,2685,0.03,388.97,1283,35153,45459
4272,Tamborine Mountain,QLD,112,2129278.21,4350,0.03,489.49,2921,33769,47517
4275,Boyland,QLD,103,1855837.27,2983,0.03,622.14,1883,39680,47787
4280,Jimboomba,QLD,485,8836310.23,14880,0.03,593.84,8569,44146,51394
4285,Beaudesert,QLD,521,8989008.9,18463,0.03,486.87,9468,40112,47003
4287,Palen Creek,QLD,9,150597.85,657,0.01,229.22,375,30083,33411
4300,Augustine Heights,QLD,1430,23487152,45132,0.03,520.41,27060,46432,52661
4301,Collingwood Park (Qld),QLD,726,11087736.99,23203,0.03,477.86,12666,42466,45978
4303,Dinmore,QLD,107,1523945.1,4149,0.03,367.30,1483,40093,42535
4304,Blackstone,QLD,462,7614684.24,15548,0.03,489.75,7579,41374,45498
4305,Basin Pocket,QLD,1636,28869488.26,57601,0.03,501.20,30082,43006,48279
4306,Amberley,QLD,859,15336769.54,31409,0.03,488.29,18425,45379,53923
4307,Harrisville,QLD,37,638465.9,1141,0.03,559.57,863,36816,42764
4309,Aratula (Qld),QLD,66,909957.19,2358,0.03,385.90,1527,36019,41600
4310,Allandale (Qld),QLD,114,2152782.25,6009,0.02,358.26,3109,35065,42226
4311,Atkinsons Dam,QLD,298,4734019.6,9280,0.03,510.13,4507,38406,43972
4312,Crossdale,QLD,50,1284406.83,3011,0.02,426.57,1224,34641,44999
4313,Braemore,QLD,48,896479.3,1761,0.03,509.07,973,31343,38079
4321,,QLD,1,5424.43,,,,,,
4340,Calvert (Qld),QLD,149,3306367.5,5858,0.03,564.42,2620,37978,43328
4341,Blenheim,QLD,367,6063921.07,13086,0.03,463.39,6540,39383,45463
4342,Forest Hill (Qld),QLD,71,1038038.46,2023,0.04,513.12,1237,37451,45032
4343,Adare,QLD,249,4457199.08,10504,0.02,424.33,6351,32451,38713
4344,Carpendale,QLD,56,1050011.18,2390,0.02,439.34,1318,38982,44696
4346,Marburg,QLD,16,222698.17,568,0.03,392.07,473,43456,48553
4347,Grantham,QLD,38,665757.47,1103,0.03,603.59,661,37006,41970
4350,Athol,QLD,2384,45276433.24,102245,0.02,442.82,58380,42255,51958
4352,Blanchview,QLD,554,11207401.34,24793,0.02,452.04,15709,43396,52288
4353,Haden,QLD,11,226432.31,349,0.03,648.80,,,
4354,Goombungee,QLD,37,885267.91,1034,0.04,856.16,577,37973,44019
4355,Crows Nest (Qld),QLD,62,966075.87,2765,0.02,349.39,1289,30714,38370
4356,Bongeen,QLD,105,2461257.9,4901,0.02,502.20,2809,35595,42234
4357,Captains Mountain,QLD,66,1264731.08,2462,0.03,513.70,1446,36692,41592
4358,Cambooya,QLD,68,1179053.18,1967,0.03,599.42,1143,38485,44975
4359,East Greenmount,QLD,23,257489.55,1133,0.02,227.26,654,36056,40582
4360,Nobby,QLD,17,174488.64,482,0.04,362.01,409,30118,35800
4361,Back Plains,QLD,55,729774.11,2251,0.02,324.20,1350,29344,37266
4362,Allora,QLD,50,819210.89,2709,0.02,302.40,1299,33586,39390
4363,Southbrook,QLD,12,161643.15,522,0.02,309.66,411,37520,45584
4364,Brookstead,QLD,8,286816.99,304,0.03,943.48,,,
4365,Leyburn,QLD,8,112564.84,414,0.02,271.90,,,
4370,Canningvale,QLD,402,7434864.03,17238,0.02,431.31,9593,35070,39633
4371,Emu Vale,QLD,20,326860.89,728,0.03,448.98,418,30042,34927
4372,Tannymorel,QLD,2,47926.77,201,0.01,238.44,,,
4373,Killarney (Qld),QLD,27,416790.65,1179,0.02,353.51,563,30440,35199
4374,Dalveen,QLD,10,114343.34,345,0.03,331.43,,,
4375,Cottonvale (Qld),QLD,7,196769.52,156,0.04,1261.34,,,
4376,Thulimbah,QLD,5,42530.38,334,0.01,127.34,,,
4377,The Summit,QLD,13,262293.19,486,0.03,539.70,343,26307,30892
4378,Applethorpe,QLD,6,141581.8,467,0.01,303.17,,,
4380,Amiens,QLD,158,2890978.15,7702,0.02,375.35,4622,29695,35573
4381,Glen Aplin,QLD,11,220401.8,450,0.02,489.78,270,29334,33726
4382,Ballandean,QLD,8,149486.04,464,0.02,322.17,319,30081,36944
4383,Jennings,QLD,17,272918.52,725,0.02,376.44,427,28550,31829
4385,Texas (Qld),QLD,26,336091.29,1159,0.02,289.98,639,30571,36972
4387,Coolmunda,QLD,29,632026.9,1358,0.02,465.41,729,32285,35241
4388,Yelarbon,QLD,13,157843.59,490,0.03,322.13,220,26598,27219
4390,Goondiwindi,QLD,208,4461575.66,6813,0.03,654.86,4390,38104,45574
4400,Kingsthorpe,QLD,50,870483.25,1821,0.03,478.02,1000,43556,48818
4401,Acland,QLD,169,2835380.43,5449,0.03,520.35,3047,41036,44214
4402,Cooyar,QLD,4,60596.93,283,0.01,214.12,,,
4403,Jondaryan,QLD,25,288621.03,790,0.03,365.34,437,34692,40235
4404,Bowenville,QLD,11,320190.99,361,0.03,886.96,310,39706,44212
4405,Dalby,QLD,318,5713130.42,13931,0.02,410.10,8287,43527,52329
4406,Hannaford,QLD,30,466834.63,1489,0.02,313.52,613,28858,37467
4407,Cecil Plains,QLD,12,117308.14,676,0.02,173.53,362,32223,38539
4408,Bell (Qld),QLD,17,186128.41,829,0.02,224.52,384,27226,30476
4410,Jandowae,QLD,33,548464.09,1245,0.03,440.53,777,31353,37579
4411,Warra,QLD,7,107643.39,319,0.02,337.44,,,
4412,Brigalow,QLD,4,84599.31,403,0.01,209.92,,,
4413,Burra Burri,QLD,184,4137204.74,6685,0.03,618.88,4312,45695,58500
4415,Miles,QLD,62,1705509.8,1853,0.03,920.40,1125,41607,52298
4416,Condamine,QLD,16,231411.49,429,0.04,539.42,322,32535,31499
4417,Noorindoo,QLD,24,401404,736,0.03,545.39,398,35050,36412
4418,,QLD,2,63205.96,,,,,,
4419,Grosmont,QLD,20,204338.3,1054,0.02,193.87,561,31549,30467
4420,Kinnoul,QLD,21,305330.35,1095,0.02,278.84,780,32873,32631
4421,Tara (Qld),QLD,43,669194.49,2212,0.02,302.53,1059,35696,40180
4422,Inglestone,QLD,11,167965.42,666,0.02,252.20,273,27151,28588
4423,,QLD,5,118908.07,,,,,,
4424,Drillham,QLD,4,141312.52,216,0.02,654.22,,,
4425,Dulacca,QLD,7,110447.78,252,0.03,438.28,,,
4426,,QLD,2,10558.38,,,,,,
4427,Yuleba,QLD,10,333636.73,211,0.05,1581.22,204,29326,32686
4428,Wallumbilla,QLD,26,431647.32,863,0.03,500.17,436,31894,34101
4454,Injune,QLD,21,483700.9,986,0.02,490.57,522,30576,31144
4455,Dargal Road,QLD,270,6269212.46,8516,0.03,736.17,5506,46312,51718
4461,,QLD,2,24212.87,,,,,,
4462,Amby,QLD,2,40358.36,140,0.01,288.27,,,
4465,Dunkeld (Qld),QLD,34,611009.16,1623,0.02,376.47,814,30728,29922
4467,,QLD,4,46388.48,,,,,,
4468,Morven (Qld),QLD,3,123968.52,304,0.01,407.79,210,25094,24581
4470,Charleville,QLD,94,1940406.96,3731,0.03,520.08,2086,40864,43908
4472,Blackall,QLD,58,946955.79,1587,0.04,596.70,873,36312,39200
4474,,QLD,2,46673.85,,,,,,
4475,,QLD,1,7081.85,,,,,,
4477,Augathella,QLD,20,344219.28,586,0.03,587.40,292,26693,27834
4478,Tambo,QLD,8,138491.37,613,0.01,225.92,299,33226,33049
4480,Eromanga,QLD,45,739594.17,974,0.05,759.34,499,37979,38727
4481,Windorah,QLD,4,55069.46,352,0.01,156.45,,,
4482,,QLD,5,57831.61,,,,,,
4486,Dirranbandi,QLD,29,422061.52,712,0.04,592.78,437,35694,38284
4487,St George (Qld),QLD,104,1815328.67,3294,0.03,551.10,1953,38376,43869
4488,Bollon,QLD,4,36994.3,336,0.01,110.10,,,
4489,,QLD,1,6487.56,,,,,,
4490,Cunnamulla,QLD,49,949824.78,1859,0.03,510.93,720,35698,38275
4491,,QLD,5,147481.2,,,,,,
4492,Dynevor,QLD,7,90276.3,405,0.02,222.90,,,
4494,Bungunya,QLD,5,58621.54,188,0.03,311.82,,,
4496,North Talwood,QLD,11,105612.73,360,0.03,293.37,,,
4497,Thallon,QLD,17,593301.5,381,0.04,1557.22,,,
4498,Toobeah,QLD,11,163055.66,218,0.05,747.96,,,
4500,Bray Park (Qld),QLD,1018,20034671.8,37630,0.03,532.41,23590,44872,52753
4501,Lawnton,QLD,169,2950400.69,5355,0.03,550.96,3004,41785,46488
4502,Petrie,QLD,256,4627321.37,8500,0.03,544.39,5185,44124,51493
4503,Dakabin,QLD,1034,17436018.4,34305,0.03,508.26,21467,44297,50662
4504,Narangba,QLD,437,7366670.64,16223,0.03,454.09,9814,45549,53735
4505,Burpengary,QLD,459,8132863.27,18727,0.02,434.29,10534,41912,50002
4506,Moorina (Qld),QLD,548,10629495.78,19702,0.03,539.51,11274,39167,45501
4507,Banksia Beach,QLD,329,6701330.33,17047,0.02,393.11,8349,34006,45783
4508,Deception Bay,QLD,523,7128132.98,19671,0.03,362.37,8840,39240,44485
4509,Mango Hill,QLD,595,11277847.33,19380,0.03,581.93,13947,48386,57750
4510,Beachmere,QLD,1102,17438333.28,42205,0.03,413.18,21879,36892,42967
4511,Godwin Beach,QLD,187,3261628.37,8027,0.02,406.33,4134,37291,45593
4512,Bracalba,QLD,85,1811987.08,3010,0.03,601.99,2113,36730,47037
4514,Booroobin,QLD,178,2701949.96,5830,0.03,463.46,3240,38138,46124
4515,Hazeldean,QLD,75,1568435.1,3537,0.02,443.44,2104,38374,46377
4516,Elimbah,QLD,97,1403772.02,3722,0.03,377.16,2376,39344,48021
4517,Beerburrum,QLD,13,194112.26,599,0.02,324.06,384,38982,48379
4518,Beerburrum,QLD,114,2247018.94,4788,0.02,469.30,2679,36685,46192
