Postcode,Suburb,State,LS_Accounts,LS_Value,Population,LS_Accounts_Per_Person,LS_Value_Per_Person,Tax_Population,Tax_Median_Income,Tax_Mean_Income
2038,Annandale (NSW),NSW,420,8961130.38,8669,0.05,1033.70,5866,60342,85624
2039,Rozelle,NSW,381,8562830.11,7922,0.05,1080.89,5626,65743,92312
2040,Leichhardt (NSW),NSW,912,19095401.98,20861,0.04,915.36,12932,59110,78983
2041,Balmain,NSW,705,17048226.9,14753,0.05,1155.58,10684,67300,117342
2042,Enmore (Marrickville - NSW),NSW,1052,21694918.09,17720,0.06,1224.32,12430,51936,66153
2043,Erskineville,NSW,338,6920564,6850,0.05,1010.30,5020,63579,76925
2044,St Peters (NSW),NSW,359,6473253.29,7192,0.05,900.06,4934,50543,58399
2045,Haberfield,NSW,147,5127392.64,6651,0.02,770.92,4047,49585,91343
2046,Abbotsford (NSW),NSW,815,20810038.42,25180,0.03,826.45,16163,54211,74756
2047,Drummoyne,NSW,403,9823167.42,11378,0.04,863.35,7626,60843,90204
2048,Stanmore (NSW),NSW,360,6894766.64,7701,0.05,895.31,4928,53868,70524
2049,Lewisham (NSW),NSW,542,11356143.31,10455,0.05,1086.19,6596,51885,67698
2050,Camperdown (NSW),NSW,376,8109447.74,6705,0.06,1209.46,5079,60498,75181
2051,,NSW,1,4730.48,,,,,,
2052,Kensington (NSW),NSW,6,267565.5,1810,0.00,147.83,,,
2055,,NSW,3,22299.19,,,,,,
2056,,NSW,1,5119.17,,,,,,
2057,,NSW,37,598699.24,,,,,,
2058,,NSW,3,53057.8,,,,,,
2059,,NSW,43,740626.16,,,,,,
2060,Lavender Bay,NSW,678,14472520.9,12268,0.06,1179.70,10188,61424,94422
2061,Kirribilli,NSW,265,5388028.82,5681,0.05,948.43,4219,69121,116154
2062,Cammeray,NSW,258,6596715.65,6782,0.04,972.68,4752,64474,96281
2063,Northbridge (NSW),NSW,161,5290830.33,5931,0.03,892.06,4174,62296,152050
2064,Artarmon,NSW,375,10027618.55,8641,0.04,1160.47,6073,53206,78724
2065,Crows Nest (NSW),NSW,1088,24899712.05,27175,0.04,916.27,20274,63749,92085
2066,Lane Cove,NSW,823,22946549.02,27623,0.03,830.70,18333,57476,95088
2067,Chatswood,NSW,799,18800491.43,22621,0.04,831.11,15747,42926,65861
2068,Castlecrag,NSW,500,15394264.15,15870,0.03,970.02,10447,56436,110349
2069,Castle Cove,NSW,380,11367739.81,13283,0.03,855.81,9055,54164,119012
2070,East Lindfield,NSW,283,6683889.03,12277,0.02,544.42,8263,55588,107932
2071,East Killara,NSW,278,9135371.36,12160,0.02,751.26,8481,52447,104972
2072,Gordon (NSW),NSW,145,4320243.64,6593,0.02,655.28,4808,47963,90204
2073,Pymble,NSW,365,13289604.39,15736,0.02,844.54,10357,54139,97281
2074,North Turramurra,NSW,421,10709764.41,20943,0.02,511.38,14355,49817,93327
2075,St Ives (NSW),NSW,412,12054422.17,18644,0.02,646.56,12992,48267,88794
2076,Normanhurst,NSW,544,13783285.11,23776,0.02,579.71,15010,50790,91130
2077,Asquith,NSW,910,18498703.83,34898,0.03,530.08,21650,45390,56542
2079,Mount Colah,NSW,165,4733665.83,7105,0.02,666.24,4505,47273,60324
2080,Mount Colah,NSW,34,950767.52,1573,0.02,604.43,1052,43930,65657
2081,Berowra,NSW,136,3320128.78,5166,0.03,642.69,3300,46420,60887
2082,Berowra Creek,NSW,148,3520342.59,5654,0.03,622.63,3268,46461,59147
2083,Brooklyn (NSW),NSW,52,1341462.5,1544,0.03,868.82,927,42341,57345
2084,Cottage Point,NSW,89,1688751.68,3535,0.03,477.72,2423,46925,87784
2085,Belrose,NSW,247,7055172.11,10707,0.02,658.93,7137,44011,69025
2086,Frenchs Forest,NSW,282,7710036.52,13192,0.02,584.45,8158,47472,70790
